	Characteristics[organism]	Characteristics[individual]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[cell type]	Characteristics[disease]	Characteristics[organism status]	Characteristics[cause of death]	Description	Source Name	Assay Name	Scan Name	Extract Name	Comment[BioSD_SAMPLE]	Comment[ENA_EXPERIMENT]	Comment[ENA_RUN]	Comment[technical replicate group]	Material Type_1	Material Type_2	Comment[input molecule]	Comment[library construction]	Comment[single cell isolation]	Comment[primer]	Comment[end bias]	Comment[umi barcode read]	Comment[umi barcode offset]	Comment[umi barcode size]	Comment[cell barcode read]	Comment[cell barcode offset]	Comment[cell barcode size]	Comment[sample barcode read]	Comment[sample barcode offset]	Comment[sample barcode size]	Comment[cDNA read]	Comment[cDNA read offset]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Technology Type	Characteristics[immunophenotype]	Characteristics[stimulus]
61	Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	thalamic complex		normal	alive	isoflurane	mouse donor	10X50_5_cells	10X50_5_cells	10X50_5_cells	10X50_5_cells		SRX3809312	SRR6854097		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
62	Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	thalamic complex		normal	alive	isoflurane	mouse donor	10X50_6_cells	10X50_6_cells	10X50_6_cells	10X50_6_cells		SRX3809311	SRR6854148		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
63	Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	thalamic complex		normal	alive	isoflurane	mouse donor	10X50_7_cells	10X50_7_cells	10X50_7_cells	10X50_7_cells		SRX3809310	SRR6854147		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
64	Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	thalamic complex		normal	alive	isoflurane	mouse donor	10X50_8_cells	10X50_8_cells	10X50_8_cells	10X50_8_cells		SRX3809315	SRR6854094		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
65	Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	cerebellum		normal	alive	isoflurane	mouse donor	10X51_1_cells	10X51_1_cells	10X51_1_cells	10X51_1_cells		SRX3809314	SRR6854093		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
66	Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	cerebellum		normal	alive	isoflurane	mouse donor	10X51_2_cells	10X51_2_cells	10X51_2_cells	10X51_2_cells		SRX3809338	SRR6854081		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
67	Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	hypothalamus		normal	alive	isoflurane	mouse donor	10X51_3_cells	10X51_3_cells	10X51_3_cells	10X51_3_cells		SRX3809339	SRR6854082		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
68	Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	hypothalamus		normal	alive	isoflurane	mouse donor	10X51_4_cells	10X51_4_cells	10X51_4_cells	10X51_4_cells		SRX3809336	SRR6854079		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
69	Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X52_1_cells	10X52_1_cells	10X52_1_cells	10X52_1_cells		SRX3809337	SRR6854080		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
70	Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X52_2_cells	10X52_2_cells	10X52_2_cells	10X52_2_cells		SRX3809342	SRR6854077		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
71	Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X52_7_cells	10X52_7_cells	10X52_7_cells	10X52_7_cells		SRX3809344	SRR6854074		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
72	Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X52_8_cells	10X52_8_cells	10X52_8_cells	10X52_8_cells		SRX3809345	SRR6854064		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
73	Mus musculus	Ad29	mixed	21	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X52_3_cells	10X52_3_cells	10X52_3_cells	10X52_3_cells		SRX3809343	SRR6854078		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
74	Mus musculus	Ad30	mixed	21	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X52_4_cells	10X52_4_cells	10X52_4_cells	10X52_4_cells		SRX3809340	SRR6854075		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
75	Mus musculus	Ad31	mixed	22	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X52_5_cells	10X52_5_cells	10X52_5_cells	10X52_5_cells		SRX3830113	SRR6854076		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
76	Mus musculus	Ad32	mixed	22	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X52_6_cells	10X52_6_cells	10X52_6_cells	10X52_6_cells		SRX3809341	SRR6854073		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
77	Mus musculus	SYMP1	female	6	week	Theiler stage 28	brain	sympathetic nervous system		normal	alive	unspecified	mouse donor	10X75_1_cells	10X75_1_cells	10X75_1_cells	10X75_1_cells		SRX3809384	SRR6854179		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
78											dead			10X50_3_cells	10X50_3_cells	10X50_3_cells	10X50_3_cells		SRX3809306	SRR6854103		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
79											dead			10X50_4_cells	10X50_4_cells	10X50_4_cells	10X50_4_cells		SRX3809313	SRR6854098		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
80											dead											cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
