Source Name	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[disease]	Characteristics[organism status]	Characteristics[cause of death]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[library construction]	Comment[single cell isolation]	Comment[input molecule]	Comment[primer]	Comment[end bias]	Comment[umi barcode offset]	Comment[umi barcode size]	Comment[cell barcode offset]	Comment[cell barcode size]	Comment[sample barcode offset]	Comment[sample barcode size]	Comment[cDNA read offset]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Protocol REF	Assay Name	Technology Type	Scan Name	Comment[ENA_EXPERIMENT]	Comment[technical replicate group]	Comment[ENA_RUN]	Comment[read1 file]	Comment[read2 file]	Comment[SRA_URI]
10X35_3_cells		Mus musculus	Ad18	female	26	day	Theiler stage 28	brain	hypothalamus	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X35_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X35_3_cells	sequencing assay	10X35_3_cells	SRX3809299		SRR6854135	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X35_4_cells		Mus musculus	Ad18	female	26	day	Theiler stage 28	brain	hypothalamus	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X35_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X35_4_cells	sequencing assay	10X35_4_cells	SRX3809300		SRR6854136	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X43_1_cells		Mus musculus	Ad19	mixed	12 to 35	day	Theiler stage 28	brain	temporal lobe	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X43_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X43_1_cells	sequencing assay	10X43_1_cells	SRX3809272		SRR6854110	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X43_2_cells		Mus musculus	Ad20	mixed	12 to 35	day	Theiler stage 28	brain	dorsal root ganglion	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-2	P-HCAD41-4	P-HCAD41-6	P-HCAD41-9	P-HCAD41-10	P-HCAD41-11	10X43_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X43_2_cells	sequencing assay	10X43_2_cells	SRX3809271		SRR6877265	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X43_3_cells		Mus musculus	Ad21	male	20	day	Theiler stage 28	brain	spinal cord	normal	alive	unspecified	mouse donor	cell	P-HCAD41-2	P-HCAD41-5	P-HCAD41-7	P-HCAD41-9	P-HCAD41-10	P-HCAD41-11	10X43_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X43_3_cells	sequencing assay	10X43_3_cells	SRX3809278		SRR6854109	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X46_1_cells		Mus musculus	Ad22	mixed	16 to 24	day	Theiler stage 28	brain	hippocampal formation	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X46_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X46_1_cells	sequencing assay	10X46_1_cells	SRX3809277		SRR6854106	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X46_2_cells		Mus musculus	Ad22	mixed	16 to 24	day	Theiler stage 28	brain	ventral striatum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X46_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X46_2_cells	sequencing assay	10X46_2_cells	SRX3809332		SRR6854105	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X46_3_cells		Mus musculus	Ad23	mixed	16 to 24	day	Theiler stage 28	brain	ventral striatum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X46_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X46_3_cells	sequencing assay	10X46_3_cells	SRX3809333		SRR6854133	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X48_1_cells		Mus musculus	Pdgfra01	mixed	20	day	Theiler stage 28	brain	medulla	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X48_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X48_1_cells	sequencing assay	10X48_1_cells	SRX3809334		SRR6854134	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X48_2_cells		Mus musculus	Pdgfra01	mixed	20	day	Theiler stage 28	brain	medulla	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X48_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X48_2_cells	sequencing assay	10X48_2_cells	SRX3809335		SRR6854131	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X48_3_cells		Mus musculus	Pdgfra02	mixed	20	day	Theiler stage 28	brain	pons	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X48_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X48_3_cells	sequencing assay	10X48_3_cells	SRX3809328		SRR6854132	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X48_4_cells		Mus musculus	Pdgfra02	mixed	20	day	Theiler stage 28	brain	pons	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X48_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X48_4_cells	sequencing assay	10X48_4_cells	SRX3809329		SRR6854129	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X49_1_cells		Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	amygdala	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X49_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X49_1_cells	sequencing assay	10X49_1_cells	SRX3809330		SRR6854130	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X49_2_cells		Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	amygdala	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X49_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X49_2_cells	sequencing assay	10X49_2_cells	SRX3809331		SRR6854127	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X49_3_cells		Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	amygdala	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X49_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X49_3_cells	sequencing assay	10X49_3_cells	SRX3809326		SRR6854128	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X49_4_cells		Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	olfactory bulb	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X49_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X49_4_cells	sequencing assay	10X49_4_cells	SRX3809327		SRR6854125	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X49_5_cells		Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	olfactory bulb	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X49_5_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X49_5_cells	sequencing assay	10X49_5_cells	SRX3809309		SRR6854126	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X50_3_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	hypothalamus	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X50_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X50_3_cells	sequencing assay	10X50_3_cells	SRX3809306		SRR6854103	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X50_4_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	hypothalamus	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X50_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X50_4_cells	sequencing assay	10X50_4_cells	SRX3809313		SRR6854098	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X50_5_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	thalamic complex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X50_5_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X50_5_cells	sequencing assay	10X50_5_cells	SRX3809312		SRR6854097	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X50_6_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	thalamic complex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X50_6_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X50_6_cells	sequencing assay	10X50_6_cells	SRX3809311		SRR6854148	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X50_7_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	thalamic complex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X50_7_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X50_7_cells	sequencing assay	10X50_7_cells	SRX3809310		SRR6854147	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X50_8_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	thalamic complex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X50_8_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X50_8_cells	sequencing assay	10X50_8_cells	SRX3809315		SRR6854094	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X51_1_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	cerebellum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X51_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X51_1_cells	sequencing assay	10X51_1_cells	SRX3809314		SRR6854093	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X51_2_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	cerebellum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X51_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X51_2_cells	sequencing assay	10X51_2_cells	SRX3809338		SRR6854081	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X51_3_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	hypothalamus	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X51_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X51_3_cells	sequencing assay	10X51_3_cells	SRX3809339		SRR6854082	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X51_4_cells		Mus musculus	Ad25	female	19	day	Theiler stage 28	brain	hypothalamus	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X51_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X51_4_cells	sequencing assay	10X51_4_cells	SRX3809336		SRR6854079	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X52_1_cells		Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X52_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X52_1_cells	sequencing assay	10X52_1_cells	SRX3809337		SRR6854080	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X52_2_cells		Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X52_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X52_2_cells	sequencing assay	10X52_2_cells	SRX3809342		SRR6854077	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X52_3_cells		Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X52_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X52_3_cells	sequencing assay	10X52_3_cells	SRX3809343		SRR6854078	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X52_4_cells		Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X52_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X52_4_cells	sequencing assay	10X52_4_cells	SRX3809340		SRR6854075	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X52_5_cells		Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X52_5_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X52_5_cells	sequencing assay	10X52_5_cells	SRX3830113		SRR6854076	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X52_6_cells		Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X52_6_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X52_6_cells	sequencing assay	10X52_6_cells	SRX3809341		SRR6854073	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X52_7_cells		Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X52_7_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X52_7_cells	sequencing assay	10X52_7_cells	SRX3809344		SRR6854074	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X52_8_cells		Mus musculus	Ad26	male	20	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X52_8_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X52_8_cells	sequencing assay	10X52_8_cells	SRX3809345		SRR6854064	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X75_1_cells		Mus musculus	SYMP1	female	6	week	Theiler stage 28	brain	sympathetic nervous system	normal	alive	unspecified	mouse donor	cell	P-HCAD41-2	P-HCAD41-4	P-HCAD41-6	P-HCAD41-9	P-HCAD41-10	P-HCAD41-11	10X75_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X75_1_cells	sequencing assay	10X75_1_cells	SRX3809384		SRR6854179	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X04_3_cells		Mus musculus	Ad04	female	28	day	Theiler stage 28	brain	olfactory bulb	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8			10X04_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-12	10X04_3_cells	sequencing assay	10X04_3_cells	SRX3809351			PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
